run,cores,variant,location,load,query,count,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms
ResultsRun1,2,baseline,remote,low,LdbcUpdate2AddPostLike,5,51.4,45,68,68,68
ResultsRun1,2,baseline,remote,low,LdbcUpdate3AddCommentLike,4,47.75,41,69,69,69
ResultsRun1,2,baseline,remote,low,LdbcUpdate4AddForum,2,94.5,64,125,125,125
ResultsRun1,2,baseline,remote,low,LdbcUpdate5AddForumMembership,24,46.916666666666664,41,64,68,69
ResultsRun1,2,baseline,remote,low,LdbcUpdate6AddPost,22,54.72727272727273,45,63,63,153
ResultsRun1,2,baseline,remote,low,LdbcUpdate7AddComment,10,58.8,49,81,83,83
ResultsRun1,2,baseline,remote,low,LdbcUpdate8AddFriendship,1,108.0,108,108,108,108
ResultsRun1,2,baseline,remote,medium,LdbcQuery1,2,368.5,314,423,423,423
ResultsRun1,2,baseline,remote,medium,LdbcQuery10,2,835.5,783,888,888,888
ResultsRun1,2,baseline,remote,medium,LdbcQuery11,4,148.75,118,228,228,228
ResultsRun1,2,baseline,remote,medium,LdbcQuery12,2,1089.5,799,1380,1380,1380
ResultsRun1,2,baseline,remote,medium,LdbcQuery13,4,110.75,63,253,253,253
ResultsRun1,2,baseline,remote,medium,LdbcQuery14,1,2580.0,2580,2580,2580,2580
ResultsRun1,2,baseline,remote,medium,LdbcQuery2,1,277.0,277,277,277,277
ResultsRun1,2,baseline,remote,medium,LdbcQuery3,1,3179.0,3179,3179,3179,3179
ResultsRun1,2,baseline,remote,medium,LdbcQuery4,1,134.0,134,134,134,134
ResultsRun1,2,baseline,remote,medium,LdbcQuery5,1,2014.0,2014,2014,2014,2014
ResultsRun1,2,baseline,remote,medium,LdbcQuery7,1,288.0,288,288,288,288
ResultsRun1,2,baseline,remote,medium,LdbcQuery8,2,166.5,64,269,269,269
ResultsRun1,2,baseline,remote,medium,LdbcShortQuery1PersonProfile,23,57.91304347826087,64,74,90,90
ResultsRun1,2,baseline,remote,medium,LdbcShortQuery2PersonPosts,23,58.56521739130435,64,68,80,92
ResultsRun1,2,baseline,remote,medium,LdbcShortQuery3PersonFriends,23,60.08695652173913,65,72,73,87
ResultsRun1,2,baseline,remote,medium,LdbcShortQuery4MessageContent,25,56.12,63,65,66,70
ResultsRun1,2,baseline,remote,medium,LdbcShortQuery5MessageCreator,25,54.24,62,65,66,66
ResultsRun1,2,baseline,remote,medium,LdbcShortQuery6MessageForum,25,58.2,64,73,91,104
ResultsRun1,2,baseline,remote,medium,LdbcShortQuery7MessageReplies,24,54.416666666666664,52,66,69,91
ResultsRun1,2,baseline,remote,medium,LdbcUpdate2AddPostLike,5,75.6,74,87,87,87
ResultsRun1,2,baseline,remote,medium,LdbcUpdate3AddCommentLike,4,61.0,64,75,75,75
ResultsRun1,2,baseline,remote,medium,LdbcUpdate4AddForum,2,151.5,53,250,250,250
ResultsRun1,2,baseline,remote,medium,LdbcUpdate5AddForumMembership,24,60.666666666666664,64,67,68,72
ResultsRun1,2,baseline,remote,medium,LdbcUpdate6AddPost,22,69.36363636363636,55,86,95,231
ResultsRun1,2,baseline,remote,medium,LdbcUpdate7AddComment,10,76.1,65,118,137,137
ResultsRun1,2,baseline,remote,medium,LdbcUpdate8AddFriendship,1,349.0,349,349,349,349
ResultsRun1,2,baseline,remote,high,LdbcQuery1,2,392.0,315,469,469,469
ResultsRun1,2,baseline,remote,high,LdbcQuery10,2,751.0,744,758,758,758
ResultsRun1,2,baseline,remote,high,LdbcQuery11,4,131.0,85,208,208,208
ResultsRun1,2,baseline,remote,high,LdbcQuery12,2,1008.5,646,1371,1371,1371
ResultsRun1,2,baseline,remote,high,LdbcQuery13,4,60.25,60,75,75,75
ResultsRun1,2,baseline,remote,high,LdbcQuery14,1,2329.0,2329,2329,2329,2329
